age,marital,education,default,housing,loan,contact,day,campaign,pdays,previous,poutcome,y,job_A,job_B,job_C,job_D,Balance,Duration,pred Y,prob Y=0,prob Y=1
58,1,3,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,0.2564192520976728,0.011016097905401083,0,1.0,0.0
44,0,2,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.437894694611083,-0.41612695732709054,0,1.0,0.0
33,1,2,0,1,1,0,5,1,-1,0,0,0,1,0,0,0,-0.4467624697109583,-0.7073608586219712,0,1.0,0.0
47,1,0,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,0.04720544696357752,-0.6452309596790633,0,1.0,0.0
33,0,0,0,0,0,0,5,1,-1,0,0,0,1,0,0,0,-0.4470909058257685,-0.23362037918229867,0,1.0,0.0
35,1,3,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.37155059941942326,-0.4627243815342715,0,1.0,0.0
28,0,3,0,1,1,0,5,1,-1,0,0,0,0,0,1,0,-0.30060839862042077,-0.15984112418759558,0,1.0,0.0
42,2,3,1,1,0,0,5,1,-1,0,0,0,1,0,0,0,-0.4467624697109583,0.4731072212932784,0,0.94,0.06
58,1,1,0,1,0,0,5,1,-1,0,0,0,0,1,0,0,-0.40767857204854485,-0.8083219444041965,0,1.0,0.0
43,0,2,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.25265672585813204,-0.7889063509845378,0,1.0,0.0
41,2,2,0,1,0,0,5,1,-1,0,0,0,0,0,0,1,-0.35874159094182556,-0.14042553076793687,0,1.0,0.0
29,0,2,0,1,0,0,5,1,-1,0,0,0,0,0,0,1,-0.319329257164602,-0.47049061890213495,0,1.0,0.0
53,1,2,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.44544872525171747,1.005094480991927,0,0.99,0.01
58,1,0,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.4241003777890547,-0.7267764520416299,0,1.0,0.0
57,1,2,0,1,0,0,5,1,-1,0,0,0,0,0,0,1,-0.3942126913413268,-0.3268152275966605,0,1.0,0.0
51,1,1,0,1,0,0,5,1,-1,0,0,0,0,1,0,0,-0.3722074716490436,0.36826301682712137,0,1.0,0.0
45,0,0,0,1,0,0,5,1,-1,0,0,0,0,0,0,1,-0.4431496724480461,-0.6219322475754728,0,0.99,0.01
57,1,1,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.43034066397044846,-0.8549193686113774,0,1.0,0.0
60,1,1,0,1,0,0,5,1,-1,0,0,0,0,1,0,0,-0.4277131750519669,-0.15207488681973208,0,1.0,0.0
33,1,2,0,1,0,0,5,1,-1,0,0,0,0,0,0,1,-0.4474193419405787,-0.7927894696684695,0,1.0,0.0
28,1,2,0,1,1,0,5,1,-1,0,0,0,0,0,1,0,-0.20996003093280646,0.014899216589332825,0,1.0,0.0
56,1,3,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.19156760850343546,-0.3656464144359779,0,1.0,0.0
32,0,1,0,1,1,0,5,1,-1,0,0,0,0,0,1,0,-0.43986531129994416,-0.3811788891717049,0,1.0,0.0
25,1,2,0,1,0,0,5,1,-1,0,0,0,0,0,0,1,-0.43099753620006886,0.3255487113038722,0,0.98,0.02
40,1,1,0,1,1,0,5,1,-1,0,0,0,0,1,0,0,-0.4474193419405787,-0.2996333968091383,0,1.0,0.0
44,1,2,0,1,0,0,5,1,-1,0,0,0,0,0,0,1,-0.5695975766499718,-0.33458146496452396,0,1.0,0.0
39,0,3,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.3636681326639785,0.14692525184301206,0,1.0,0.0
52,1,2,0,1,1,0,5,1,-1,0,0,0,1,0,0,0,-0.41030606096702643,-0.5093218057414524,0,0.99,0.01
46,0,2,0,1,0,0,5,2,-1,0,0,0,0,0,1,0,-0.528214626183887,-0.01228261419818937,0,1.0,0.0
36,0,2,0,1,1,0,5,1,-1,0,0,0,0,0,1,0,-0.3603837715158765,0.34884742340746266,0,1.0,0.0
57,1,2,0,0,1,0,5,1,-1,0,0,0,0,0,1,0,-0.17186144161482367,-0.12877617471614164,0,0.99,0.01
49,1,3,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.3232704905423243,-0.10936058129648292,0,0.99,0.01
60,1,2,0,1,1,0,5,1,-1,0,0,0,0,0,0,1,-0.434610333462981,-0.19478919234298125,0,0.98,0.02
59,1,2,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.4474193419405787,-0.12489305603220989,0,1.0,0.0
51,1,3,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,3.045498739065863,0.3022499992002817,0,1.0,0.0
57,2,2,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.42672786670753626,-0.06276315708930202,0,1.0,0.0
25,1,2,0,1,0,0,5,1,-1,0,0,0,0,0,1,0,-0.44971839474425007,0.41486044103430225,0,1.0,0.0
